# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1) ! 402.247 us  |  }
 1)               |  SyS_newstat() {
 3)   0.137 us    |            account_entity_dequeue();
 1)               |    vfs_fstatat() {
 1)               |      user_path_at_empty() {
 3)   0.066 us    |            update_min_vruntime();
 1)               |        getname_flags() {
 1)               |          kmem_cache_alloc() {
 3)   0.087 us    |            update_cfs_shares();
 1)   0.059 us    |            _cond_resched();
 3) + 55.218 us   |          }
 1)   0.063 us    |            __memcg_kmem_get_cache();
 3)   0.058 us    |          hrtick_update();
 1)   0.065 us    |            __memcg_kmem_put_cache();
 3) + 70.933 us   |        }
 3) + 86.736 us   |      }
 1) + 23.165 us   |          }
 3)               |      pick_next_task_fair() {
 1) + 30.860 us   |        }
 3)   0.057 us    |        __msecs_to_jiffies();
 1)               |        filename_lookup() {
 1)               |          path_lookupat() {
 3)   7.958 us    |      }
 1)               |            path_init() {
 3)               |      pick_next_task_idle() {
 1)   0.065 us    |              set_root();
 3)               |        put_prev_task_fair() {
 1)   0.063 us    |              nd_jump_root();
 3)               |          put_prev_entity() {
 3)   0.057 us    |            check_cfs_rq_runtime();
 1) + 15.395 us   |            }
 1)               |            link_path_walk() {
 3)   7.755 us    |          }
 1)               |              inode_permission() {
 3) + 15.482 us   |        }
 1)               |                __inode_permission() {
 3) + 23.236 us   |      }
 1)   0.064 us    |                  generic_permission();
 ------------------------------------------
 3)   rcu_sch-7    =>    <idle>-0   
 ------------------------------------------

 3)   0.114 us    |      finish_task_switch();
 1)   0.058 us    |                  security_inode_permission();
 3) ! 530.502 us  |    }
 1) + 15.516 us   |                }
 3) ! 538.234 us  |  } /* schedule_preempt_disabled */
 1) + 23.186 us   |              }
 3)   0.131 us    |  quiet_vmstat();
 1)               |              walk_component() {
 1)               |                lookup_fast() {
 3)               |  tick_nohz_idle_enter() {
 1)   0.073 us    |                  __d_lookup_rcu();
 3)   0.059 us    |    set_cpu_sd_state_idle();
 1)   0.054 us    |                  __lookup_mnt();
 3)               |    __tick_nohz_idle_enter() {
 3)   0.115 us    |      ktime_get();
 1) + 15.602 us   |                }
 1) + 23.423 us   |              }
 3)   0.062 us    |      rcu_needs_cpu();
 1)               |              inode_permission() {
 1)               |                __inode_permission() {
 3) + 15.997 us   |    }
 1)   0.065 us    |                  generic_permission();
 3) + 31.471 us   |  }
 3)               |  arch_cpu_idle_enter() {
 1)   0.059 us    |                  security_inode_permission();
 3)   0.061 us    |    local_touch_nmi();
 1) + 15.459 us   |                }
 3)               |    atomic_notifier_call_chain() {
 1) + 23.082 us   |              }
 3)   0.056 us    |      notifier_call_chain();
 1) + 92.820 us   |            }
 1)               |            walk_component() {
 3)   7.756 us    |    }
 1)               |              lookup_fast() {
 3) + 23.234 us   |  }
 1)   0.073 us    |                __d_lookup_rcu();
 3)   0.062 us    |  tick_check_broadcast_expired();
 1)   7.817 us    |              }
 3)   0.063 us    |  cpuidle_get_cpu_driver();
 1) + 15.522 us   |            }
 1)               |            complete_walk() {
 3)   0.124 us    |  rcu_idle_enter();
 1)               |              unlazy_walk() {
 1)               |                legitimize_mnt() {
 3)   0.152 us    |  cpuidle_not_available();
 1)   0.067 us    |                  __legitimize_mnt();
 3)               |  default_idle_call() {
 1)   7.718 us    |                }
 3)               |    arch_cpu_idle() {
 1) + 15.427 us   |              }
 3)               |      default_idle() {
 1) + 23.157 us   |            }
 1)               |            terminate_walk() {
 1)   0.067 us    |              dput();
 1)   0.072 us    |              mntput();
 1) + 15.038 us   |            }
 1) ! 199.490 us  |          }
 1)   0.054 us    |          restore_nameidata();
 1)               |          putname() {
 1)   0.068 us    |            kmem_cache_free();
 1)   6.312 us    |          }
 1) ! 225.197 us  |        }
 1) ! 270.686 us  |      }
 1)               |      vfs_getattr() {
 1)               |        security_inode_getattr() {
 1)               |          apparmor_inode_getattr() {
 1)   0.095 us    |            common_perm();
 1)   6.308 us    |          }
 1) + 12.575 us   |        }
 1)               |        vfs_getattr_nosec() {
 1)               |          ext4_getattr() {
 1)   0.053 us    |            generic_fillattr();
 1)   6.320 us    |          }
 1) + 12.564 us   |        }
 1) + 37.806 us   |      }
 1)               |      path_put() {
 1)   0.068 us    |        dput();
 1)               |        mntput() {
 1)   0.058 us    |          mntput_no_expire();
 1)   6.279 us    |        }
 1) + 18.717 us   |      }
 1) ! 346.814 us  |    }
 1)               |    cp_new_stat() {
 1)   0.046 us    |      from_kuid_munged();
 1)   0.049 us    |      from_kgid_munged();
 1) + 12.461 us   |    }
 1) ! 372.471 us  |  }
 1)               |  sys_geteuid() {
 1)   0.049 us    |    from_kuid_munged();
