layer,tracer,workload,configuration,time,event,freq,total_event_cost,cost_per_event
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,EXCEPTION_NMI,1,915,915.0
L1,Lttng_After,cpu_benchmark,1_10000,7223194719,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,HLT,309,218502517,707127.89
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,MSR_WRITE,2519,5814865,2308.4
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,PREEMPTION_TIMER,1766,4719687,2672.53
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,IO_INSTRUCTION,254,2333002,9185.05
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,EXTERNAL_INTERRUPT,1848,2320290,1255.57
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,EPT_MISCONFIG,30,156478,5215.93
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,PENDING_INTERRUPT,37,81573,2204.68
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,CPUID,35,59999,1714.26
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,PAUSE_INSTRUCTION,29,33275,1147.41
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,MSR_READ,1,1490,1490.0
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,EXCEPTION_NMI,1,913,913.0
L1,Lttng_After,cpu_benchmark,1_10000,7235591920,VMCALL,1,0,0.0
L1,Lttng_After,cpu_benchmark,1_10000,7247723284,HLT,251,218373942,870015.71
L1,Lttng_After,cpu_benchmark,1_10000,7247723284,EXTERNAL_INTERRUPT,1803,6179967,3427.6
L1,Lttng_After,cpu_benchmark,1_10000,7247723284,MSR_WRITE,2360,5669822,2402.47
L1,Lttng_After,cpu_benchmark,1_10000,7247723284,PREEMPTION_TIMER,1788,4745998,2654.36
L1,Lttng_After,cpu_benchmark,1_10000,7247723284,IO_INSTRUCTION,307,3051838,9940.84
